0 1 2 
859 860 892 
892 891 859 
892 893 925 
925 924 892 
925 926 958 
958 957 925 
958 959 991 
991 990 958 
991 992 1024 
1024 1023 991 
1024 1025 1057 
1057 1056 1024 
1057 1058 1090 
1090 1089 1057 
35 36 68 
68 67 35 
68 69 101 
101 100 68 
101 102 134 
134 133 101 
134 135 167 
167 166 134 
167 168 200 
200 199 167 
200 201 233 
233 232 200 
233 234 266 
266 265 233 
266 267 299 
299 298 266 
299 300 332 
332 331 299 
332 333 365 
365 364 332 
365 366 398 
398 397 365 
398 399 431 
431 430 398 
431 432 464 
464 463 431 
464 465 497 
497 496 464 
497 498 530 
530 529 497 
530 531 563 
563 562 530 
563 564 596 
596 595 563 
596 597 629 
629 628 596 
629 630 662 
662 661 629 
662 663 695 
695 694 662 
695 696 728 
728 727 695 
728 729 761 
761 760 728 
761 762 794 
794 793 761 
794 795 827 
827 826 794 
827 828 860 
860 859 827 
860 861 893 
893 892 860 
893 894 926 
926 925 893 
926 927 959 
959 958 926 
959 960 992 
992 991 959 
992 993 1025 
1025 1024 992 
1025 1026 1058 
1058 1057 1025 
1058 1059 1091 
1091 1090 1058 
69 68 36 
102 101 69 
135 134 102 
168 167 135 
201 200 168 
234 233 201 
267 266 234 
300 299 267 
333 332 300 
366 365 333 
399 398 366 
432 431 399 
465 464 432 
498 497 465 
531 530 498 
564 563 531 
597 596 564 
630 629 597 
663 662 630 
696 695 663 
729 728 696 
762 761 729 
795 794 762 
828 827 795 
861 860 828 
894 893 861 
927 926 894 
960 959 927 
993 992 960 
1026 1025 993 
1059 1058 1026 
1092 1091 1059
